date,ticker,price,volume,market_cap,tx_count,tx_volume,DAA,NVT,hash_rate,fees,volatility,liquidity
2012-01-01,BTC,4.84,10.0,38720000.0,20000.0,14532.0,50000.0,500.0,20939.36,4.0,0.5604,0.005
2012-01-02,BTC,5.0,10.0,40012486.0,22361.0,54787.0,50211.0,500.0,26089.14,28.0,0.4466,0.005
2012-01-03,BTC,5.29,107.0,42346420.0,22958.0,43025.0,50422.0,500.0,27143.4,26.0,0.5558,0.005
2012-01-04,BTC,5.57,107.0,44601727.0,21347.0,47718.0,50633.0,500.0,16653.5,21.0,0.5025,0.005
2012-01-05,BTC,6.42,70.0,51424126.0,18752.0,23279.0,50844.0,500.0,23734.95,5.0,1.0872,0.005
2012-01-06,BTC,6.4,56.0,51279908.0,17136.0,20885.0,51056.0,500.0,15918.99,3.0,1.0875,0.005
2012-01-07,BTC,6.8,3.0,54501882.0,17730.0,57382.0,51267.0,500.0,19724.81,28.0,0.9976,0.005
2012-01-08,BTC,6.9,4.0,55320611.0,20100.0,24168.0,51479.0,500.0,31267.31,7.0,0.9553,0.005
2012-01-09,BTC,6.48,65.0,51969451.0,22474.0,26668.0,51690.0,500.0,31020.79,17.0,1.1246,0.005
2012-01-10,BTC,7.1,61.0,56959566.0,23073.0,16876.0,51901.0,500.0,32489.2,12.0,1.123,0.005
2012-01-11,BTC,7.0,93.0,56174798.0,21454.0,66892.0,52112.0,500.0,30407.03,43.0,1.1109,0.005
2012-01-12,BTC,6.51,99.0,52258819.0,18846.0,42786.0,52323.0,500.0,20484.73,18.0,1.2087,0.005
2012-01-13,BTC,6.9,34.0,55406761.0,17222.0,30053.0,52534.0,500.0,16235.0,4.0,1.1705,0.005
2012-01-14,BTC,6.4,28.0,51407760.0,17819.0,20989.0,52744.0,500.0,31533.94,15.0,1.2389,0.005
2012-01-15,BTC,7.15,21.0,57449962.0,20201.0,64475.0,52954.0,500.0,14170.75,26.0,1.2827,0.005
2012-01-16,BTC,7.1,13.0,57065943.0,22586.0,56135.0,53163.0,500.0,43499.61,21.0,1.2507,0.005
2012-01-17,BTC,6.9,11.0,55475682.0,23188.0,40147.0,53372.0,500.0,23037.64,18.0,1.2369,0.005
2012-01-18,BTC,7.1,203.0,57101402.0,21562.0,69141.0,53581.0,500.0,18766.71,53.0,1.2003,0.005
2012-01-19,BTC,6.01,158.0,48350138.0,18940.0,12860.0,53789.0,500.0,19089.47,8.0,1.4005,0.005
2012-01-20,BTC,6.95,184.0,55929745.0,17309.0,12540.0,53996.0,500.0,19774.09,6.0,1.4927,0.005
2012-01-21,BTC,6.95,0.0,55947100.0,17909.0,43671.0,54203.0,500.0,21747.62,19.0,1.4576,0.005
2012-01-22,BTC,6.83,162.0,54998162.0,20302.0,15277.0,54409.0,500.0,28380.85,4.0,1.4306,0.005
2012-01-23,BTC,6.52,96.0,52518187.0,22699.0,16591.0,54614.0,500.0,19847.04,10.0,1.4206,0.005
2012-01-24,BTC,6.55,85.0,52776191.0,23305.0,28375.0,54818.0,500.0,27210.42,14.0,1.3901,0.005
2012-01-25,BTC,6.0,81.0,48359585.0,21670.0,19929.0,55021.0,500.0,41178.24,13.0,1.4126,0.005
2012-01-26,BTC,6.27,17.0,50551423.0,19035.0,53378.0,55224.0,500.0,35894.78,12.0,1.3898,0.005
2012-01-27,BTC,5.88,106.0,47421760.0,17395.0,31257.0,55425.0,500.0,31884.0,10.0,1.3902,0.005
2012-01-28,BTC,4.91,0.0,39611043.0,17998.0,23897.0,55626.0,500.0,18918.17,13.0,1.503,0.005
2012-01-29,BTC,5.9,2.0,47612524.0,20404.0,54906.0,55825.0,500.0,14763.27,18.0,1.6348,0.005
2012-01-30,BTC,5.58,22.0,45044084.0,22813.0,44846.0,56023.0,500.0,36536.78,31.0,1.622,0.005
2012-01-31,BTC,5.55,105.0,44815770.0,23421.0,58442.0,56220.0,500.0,15078.58,33.0,1.6225,0.005
